Day,Month,Year,mean_temp,max_temp,min_temp,meanhum,meandew,pressure,heat,wet
15,8,2009,29.3,31.8,27.5,80,25.5,1010.2,NO,YES
16,8,2009,29.9,33.1,28.2,77,25.4,1010.6,NO,NO
17,8,2009,29.1,30.9,27.9,81,25.5,1011.1,NO,YES
18,8,2009,28.7,32.0,27.9,85,25.9,1010.9,NO,YES
19,8,2009,29.4,32.1,27.8,82,26.0,1010.9,NO,YES
20,8,2009,29.8,33.1,28.0,74,24.6,1008.8,NO,NO
21,8,2009,30.1,32.9,28.0,70,23.8,1007.1,YES,NO
22,8,2009,30.0,32.4,28.2,73,24.6,1007.2,YES,NO
23,8,2009,30.4,34.2,28.6,75,25.3,1007.8,YES,NO
24,8,2009,30.1,33.2,28.5,72,24.6,1008.6,YES,NO
25,8,2009,29.9,33.3,28.3,78,25.6,1009.0,NO,NO
26,8,2009,30.0,33.3,28.4,79,25.9,1008.6,YES,NO
27,8,2009,30.0,33.4,28.6,78,25.8,1008.4,YES,NO
28,8,2009,30.4,33.5,28.0,73,24.8,1007.8,YES,NO
29,8,2009,30.3,33.1,29.2,78,26.1,1007.6,YES,NO
30,8,2009,30.4,33.8,28.2,77,25.7,1008.6,YES,NO
31,8,2009,29.9,33.9,27.2,74,24.7,1009.0,NO,NO
1,8,2010,30.0,32.7,28.3,79,25.9,1010.3,YES,NO
2,8,2010,29.4,32.7,28.0,79,25.4,1010.3,NO,NO
3,8,2010,29.1,32.2,27.3,76,24.4,1007.5,NO,NO
4,8,2010,30.0,33.1,27.5,74,24.7,1005.1,YES,NO
5,8,2010,29.4,33.7,24.3,79,25.2,1005.5,NO,NO
6,8,2010,28.4,32.2,25.0,81,24.8,1006.0,NO,YES
7,8,2010,28.8,32.2,25.7,84,25.7,1004.5,NO,YES
8,8,2010,28.8,32.2,25.8,84,25.8,1003.5,NO,YES
9,8,2010,29.6,32.6,27.7,82,26.2,1003.9,NO,YES
10,8,2010,30.2,33.7,28.0,77,25.6,1006.2,YES,NO
11,8,2010,28.3,30.1,26.9,88,26.1,1008.7,NO,YES
12,8,2010,29.3,32.6,27.1,79,25.2,1009.5,NO,NO
13,8,2010,29.8,32.7,27.9,79,25.7,1008.7,NO,NO
14,8,2010,29.4,31.7,28.0,79,25.3,1009.2,NO,NO
15,8,2010,28.1,29.6,26.1,83,24.9,1010.4,NO,YES
16,8,2010,27.1,30.1,25.3,85,24.3,1010.3,NO,YES
17,8,2010,28.3,32.6,26.2,83,25.1,1010.1,NO,YES
18,8,2010,28.6,30.9,26.9,84,25.5,1011.7,NO,YES
19,8,2010,27.5,30.1,25.3,92,26.1,1012.9,NO,YES
20,8,2010,28.0,32.1,24.5,85,25.1,1012.6,NO,YES
21,8,2010,29.4,32.8,27.2,78,25.1,1009.8,NO,NO
22,8,2010,28.9,31.9,26.5,83,25.7,1008.4,NO,YES
23,8,2010,28.5,31.8,25.1,84,25.5,1008.6,NO,YES
24,8,2010,26.5,29.3,25.3,93,25.2,1010.4,NO,YES
25,8,2010,28.0,30.5,26.3,82,24.6,1010.4,NO,YES
26,8,2010,28.4,31.5,27.2,82,25.0,1008.7,NO,YES
27,8,2010,28.8,32.0,26.4,78,24.5,1007.5,NO,NO
28,8,2010,27.9,30.8,24.7,81,24.3,1007.2,NO,YES
29,8,2010,29.2,32.9,27.1,78,24.8,1006.6,NO,NO
30,8,2010,29.7,32.6,27.7,74,24.4,1004.1,NO,NO
31,8,2010,30.4,33.0,28.1,69,23.8,1002.4,YES,NO
1,8,2011,29.5,33.7,26.8,76,24.5,1005.5,NO,NO
2,8,2011,29.5,32.9,27.3,73,24.1,1006.7,NO,NO
3,8,2011,29.5,32.6,27.2,73,24.1,1005.8,NO,NO
4,8,2011,29.9,34.2,27.3,75,25.0,1002.9,NO,NO
5,8,2011,30.1,33.5,27.8,74,24.9,1001.1,YES,NO
6,8,2011,30.2,33.2,28.0,74,24.9,1000.2,YES,NO
7,8,2011,30.9,35.0,28.6,75,25.7,1002.1,YES,NO
8,8,2011,29.2,31.1,25.6,79,25.2,1004.3,NO,NO
9,8,2011,28.0,31.5,26.0,86,25.4,1004.5,NO,YES
10,8,2011,26.8,28.3,25.2,92,25.3,1005.8,NO,YES
11,8,2011,28.7,32.2,26.0,83,25.4,1007.9,NO,YES
12,8,2011,29.4,32.0,27.6,78,25.2,1008.0,NO,NO
13,8,2011,29.6,32.9,27.9,75,24.5,1008.8,NO,NO
14,8,2011,29.6,32.8,28.0,74,24.3,1010.6,NO,NO
15,8,2011,29.7,31.9,27.9,76,25.0,1011.0,NO,NO
16,8,2011,29.3,32.3,28.1,78,24.9,1009.9,NO,NO
17,8,2011,28.7,30.5,27.2,81,25.1,1009.4,NO,YES
18,8,2011,29.2,32.5,27.1,80,25.2,1010.0,NO,YES
19,8,2011,29.6,33.0,27.8,79,25.5,1010.9,NO,NO
20,8,2011,29.2,33.0,25.6,80,25.2,1011.0,NO,YES
21,8,2011,29.5,32.5,28.1,80,25.5,1009.8,NO,YES
22,8,2011,29.0,30.4,28.1,83,25.8,1008.1,NO,YES
23,8,2011,29.8,32.4,28.2,76,25.0,1006.6,NO,NO
24,8,2011,29.8,32.4,27.1,76,25.1,1006.1,NO,NO
25,8,2011,28.6,30.9,26.4,81,24.9,1005.7,NO,YES
26,8,2011,29.1,31.8,27.0,76,24.3,1006.1,NO,NO
27,8,2011,29.2,32.9,27.5,75,24.2,1004.6,NO,NO
28,8,2011,30.2,32.0,28.0,69,23.7,1003.0,YES,NO
29,8,2011,30.6,33.7,27.7,67,23.7,1002.3,YES,NO
30,8,2011,30.9,33.3,28.8,69,24.4,1001.0,YES,NO
31,8,2011,30.6,33.4,28.7,64,23.0,999.3,YES,NO
1,8,2012,30.6,33.6,27.4,73,25.0,997.2,YES,NO
2,8,2012,31.8,34.1,29.3,66,24.4,997.1,YES,NO
3,8,2012,31.0,33.0,29.6,68,24.4,998.4,YES,NO
4,8,2012,29.8,30.5,29.3,80,26.0,998.7,NO,YES
5,8,2012,29.5,31.3,28.1,83,26.3,1000.6,NO,YES
6,8,2012,29.0,32.5,25.3,84,25.8,1002.2,NO,YES
7,8,2012,30.0,32.9,27.4,78,25.6,1000.9,YES,NO
8,8,2012,30.5,33.4,28.6,77,25.8,999.9,YES,NO
9,8,2012,30.5,34.3,28.5,74,25.2,1000.9,YES,NO
10,8,2012,29.6,32.0,27.0,77,25.2,1003.0,NO,NO
11,8,2012,27.6,29.5,25.5,86,25.1,1004.2,NO,YES
12,8,2012,27.7,29.6,25.1,87,25.3,1003.3,NO,YES
13,8,2012,27.8,30.1,26.4,88,25.6,1003.3,NO,YES
14,8,2012,28.4,31.9,26.7,85,25.7,1004.8,NO,YES
15,8,2012,30.0,33.7,27.2,77,25.5,1003.9,YES,NO
16,8,2012,28.6,32.6,25.8,84,25.5,1001.5,NO,YES
17,8,2012,28.2,29.7,26.8,85,25.3,1004.7,NO,YES
18,8,2012,29.4,32.6,28.0,81,25.8,1008.6,NO,YES
19,8,2012,29.2,32.0,27.6,78,24.9,1008.1,NO,NO
20,8,2012,29.5,32.9,27.5,76,24.8,1006.3,NO,NO
21,8,2012,29.1,31.6,27.8,79,25.0,1006.4,NO,NO
22,8,2012,28.0,28.9,26.6,81,24.5,1006.3,NO,YES
23,8,2012,28.9,31.8,26.6,75,24.0,1006.0,NO,NO
24,8,2012,29.9,32.8,27.3,70,23.7,1005.0,NO,NO
25,8,2012,30.1,33.4,27.8,64,22.5,1003.6,YES,NO
26,8,2012,30.5,32.8,28.9,60,21.9,1001.3,YES,NO
27,8,2012,30.8,33.4,28.6,59,21.9,1001.4,YES,NO
28,8,2012,31.0,34.5,28.9,74,25.5,1004.3,YES,NO
29,8,2012,29.4,31.8,26.7,76,24.7,1007.2,NO,NO
30,8,2012,30.1,33.3,28.6,77,25.5,1007.2,YES,NO
31,8,2012,28.5,30.9,26.0,85,25.8,1007.6,NO,YES
1,8,2013,28.3,30.7,25.4,84,25.3,1003.8,NO,YES
2,8,2013,26.5,27.9,24.5,93,25.3,1004.5,NO,YES
3,8,2013,28.2,31.5,25.6,88,25.9,1009.9,NO,YES
4,8,2013,29.2,32.9,27.1,79,25.0,1011.7,NO,NO
5,8,2013,29.4,32.9,27.0,73,23.8,1009.4,NO,NO
6,8,2013,29.5,33.1,27.4,78,25.3,1009.0,NO,NO
7,8,2013,29.2,31.7,27.7,82,25.7,1010.3,NO,YES
8,8,2013,29.4,32.7,26.7,78,24.9,1010.8,NO,NO
9,8,2013,29.6,32.5,27.3,76,24.8,1008.9,NO,NO
10,8,2013,30.0,33.2,28.2,80,26.0,1008.4,YES,YES
11,8,2013,29.8,33.1,27.7,77,25.3,1008.8,NO,NO
12,8,2013,30.6,34.9,27.7,71,24.5,1006.5,YES,NO
13,8,2013,27.5,29.9,25.4,86,24.8,1002.2,NO,YES
14,8,2013,26.6,27.6,25.2,92,25.2,999.3,NO,YES
15,8,2013,28.2,28.9,26.5,83,25.1,1002.9,NO,YES
16,8,2013,28.0,28.7,26.8,87,25.6,1000.7,NO,YES
17,8,2013,28.2,29.6,26.3,86,25.7,999.6,NO,YES
18,8,2013,28.4,30.2,26.9,86,25.9,1001.4,NO,YES
19,8,2013,27.5,29.8,26.3,92,26.1,1001.6,NO,YES
20,8,2013,28.9,31.6,26.8,82,25.5,1000.7,NO,YES
21,8,2013,29.2,31.0,27.4,81,25.5,998.4,NO,YES
22,8,2013,29.2,31.0,26.4,82,25.8,996.2,NO,YES
23,8,2013,28.6,29.5,26.6,84,25.7,999.4,NO,YES
24,8,2013,28.0,29.8,25.7,87,25.6,1003.8,NO,YES
25,8,2013,27.7,30.2,26.1,91,26.1,1007.1,NO,YES
26,8,2013,28.8,32.8,26.6,82,25.4,1006.8,NO,YES
27,8,2013,29.3,32.9,27.0,79,25.2,1006.2,NO,NO
28,8,2013,29.7,33.3,27.3,75,24.6,1005.2,NO,NO
29,8,2013,29.6,32.0,27.8,77,25.1,1004.1,NO,NO
30,8,2013,27.3,29.7,24.4,87,24.9,1005.9,NO,YES
31,8,2013,26.4,29.5,24.6,90,24.6,1008.4,NO,YES
1,8,2014,30.2,34.6,25.9,78,25.7,1001.0,YES,NO
2,8,2014,29.7,32.8,26.1,79,25.6,1001.4,NO,NO
3,8,2014,29.3,32.3,26.1,82,25.7,1001.9,NO,YES
4,8,2014,30.2,32.7,27.2,81,26.4,1002.4,YES,YES
5,8,2014,29.2,30.7,27.3,86,26.6,1003.4,NO,YES
6,8,2014,28.1,31.1,26.1,87,25.7,1003.6,NO,YES
7,8,2014,29.0,31.0,26.7,85,26.1,1003.3,NO,YES
8,8,2014,29.9,32.3,28.1,78,25.4,1003.0,NO,NO
9,8,2014,30.1,32.0,28.8,77,25.5,1004.4,YES,NO
10,8,2014,29.8,32.4,27.5,78,25.5,1004.7,NO,NO
11,8,2014,29.9,32.1,28.5,80,26.1,1003.3,NO,YES
12,8,2014,28.9,31.9,25.2,85,26.0,1002.1,NO,YES
13,8,2014,26.0,28.8,24.3,96,25.3,1003.5,NO,YES
14,8,2014,28.1,30.7,25.4,85,25.3,1008.0,NO,YES
15,8,2014,29.2,32.4,26.7,78,24.8,1010.1,NO,NO
16,8,2014,29.3,31.9,27.9,79,25.1,1008.6,NO,NO
17,8,2014,29.3,31.9,27.3,78,25.0,1007.3,NO,NO
18,8,2014,29.6,32.4,27.7,76,24.9,1008.2,NO,NO
19,8,2014,27.4,31.3,24.6,86,24.7,1008.7,NO,YES
20,8,2014,24.7,26.5,22.9,95,23.9,1010.4,NO,YES
21,8,2014,26.9,30.7,23.9,86,24.3,1010.7,NO,YES
22,8,2014,28.5,31.9,26.6,81,24.9,1010.6,NO,YES
23,8,2014,29.1,32.2,27.2,78,24.9,1009.8,NO,NO
24,8,2014,29.1,33.2,26.9,76,24.4,1009.7,NO,NO
25,8,2014,29.9,34.1,27.3,77,25.2,1010.1,NO,NO
26,8,2014,30.1,34.2,27.9,76,25.4,1010.6,YES,NO
27,8,2014,29.4,31.7,28.2,78,25.0,1010.1,NO,NO
28,8,2014,29.5,32.1,28.1,81,25.8,1012.1,NO,YES
29,8,2014,30.1,34.1,27.5,75,25.1,1012.5,YES,NO
30,8,2014,30.1,34.0,27.8,75,25.0,1011.1,YES,NO
31,8,2014,29.1,31.2,28.2,83,25.8,1009.7,NO,YES
1,8,2015,28.9,32.2,26.9,78,24.6,1011.2,NO,NO
2,8,2015,28.9,32.3,26.8,78,24.5,1011.6,NO,NO
3,8,2015,29.5,33.3,27.3,75,24.5,1010.6,NO,NO
4,8,2015,29.4,33.3,26.8,74,24.1,1008.3,NO,NO
5,8,2015,29.6,33.3,27.6,74,24.4,1006.1,NO,NO
6,8,2015,30.1,33.1,27.8,72,24.2,1005.3,YES,NO
7,8,2015,30.7,33.3,28.2,72,24.9,1003.4,YES,NO
8,8,2015,32.4,36.3,30.0,62,24.0,998.5,YES,NO
9,8,2015,31.0,34.7,26.9,71,24.8,998.5,YES,NO
10,8,2015,28.1,30.6,25.1,85,25.2,1004.5,NO,YES
11,8,2015,29.2,32.8,26.3,81,25.4,1007.3,NO,YES
12,8,2015,30.0,33.7,27.8,79,25.8,1007.9,YES,NO
13,8,2015,28.0,29.6,26.4,87,25.6,1007.9,NO,YES
14,8,2015,26.9,28.8,25.6,90,25.1,1007.4,NO,YES
15,8,2015,27.0,28.6,24.9,89,25.0,1008.5,NO,YES
16,8,2015,29.2,31.2,26.9,86,26.5,1008.5,NO,YES
17,8,2015,29.9,32.4,28.3,83,26.6,1008.2,NO,YES
18,8,2015,30.2,33.8,28.4,78,25.8,1008.0,YES,NO
19,8,2015,30.1,32.8,28.1,77,25.7,1007.7,YES,NO
20,8,2015,29.1,31.2,26.8,84,26.1,1006.3,NO,YES
21,8,2015,30.0,33.4,26.9,77,25.5,1002.2,YES,NO
22,8,2015,30.2,32.0,28.4,71,24.4,1000.1,YES,NO
23,8,2015,30.6,32.9,28.0,69,24.2,1000.0,YES,NO
24,8,2015,30.7,33.2,28.3,70,24.3,1002.4,YES,NO
25,8,2015,30.6,34.4,27.9,65,23.2,1005.5,YES,NO
26,8,2015,28.9,31.7,27.8,81,25.3,1008.1,NO,YES
27,8,2015,29.0,32.4,27.0,79,25.0,1008.1,NO,NO
28,8,2015,28.3,31.2,26.9,79,24.4,1006.5,NO,NO
29,8,2015,27.8,29.6,26.5,84,24.8,1006.2,NO,YES
30,8,2015,26.6,27.9,25.8,92,25.2,1006.8,NO,YES
31,8,2015,27.4,29.0,25.8,87,25.0,1007.4,NO,YES
1,8,2016,29.5,31.6,26.8,76,24.9,998.8,NO,NO
2,8,2016,27.1,29.5,25.1,88,25.0,995.9,NO,YES
3,8,2016,26.8,27.8,26.1,93,25.5,1006.3,NO,YES
4,8,2016,26.9,28.6,26.1,94,26.0,1008.7,NO,YES
5,8,2016,29.3,32.3,27.0,83,26.0,1008.3,NO,YES
6,8,2016,30.0,33.2,27.4,77,25.4,1005.0,YES,NO
7,8,2016,30.4,33.4,28.2,80,26.4,1002.8,YES,YES
8,8,2016,30.5,33.4,28.6,79,26.3,1003.0,YES,NO
9,8,2016,29.2,32.7,26.1,83,26.1,1001.8,NO,YES
10,8,2016,26.7,29.3,24.7,91,25.1,1002.6,NO,YES
11,8,2016,27.2,29.9,25.2,87,24.8,1003.2,NO,YES
12,8,2016,28.1,29.4,26.9,86,25.5,1001.3,NO,YES
13,8,2016,28.8,32.3,27.1,84,25.9,999.8,NO,YES
14,8,2016,27.3,29.4,25.8,90,25.4,998.3,NO,YES
15,8,2016,26.6,28.4,25.6,93,25.3,997.4,NO,YES
16,8,2016,26.2,26.9,25.5,96,25.4,996.0,NO,YES
17,8,2016,26.5,28.0,25.3,96,25.8,993.7,NO,YES
18,8,2016,27.0,28.7,25.9,94,25.9,996.3,NO,YES
19,8,2016,28.2,31.3,26.5,90,26.4,1003.0,NO,YES
20,8,2016,29.2,32.4,27.4,88,26.8,1004.7,NO,YES
21,8,2016,27.4,31.2,24.5,87,25.0,1003.2,NO,YES
22,8,2016,29.3,33.0,27.3,82,25.8,1004.7,NO,YES
23,8,2016,29.7,33.4,27.2,74,24.3,1004.8,NO,NO
24,8,2016,30.1,33.5,27.9,75,25.0,1003.8,YES,NO
25,8,2016,30.4,34.4,28.1,77,25.8,1004.2,YES,NO
26,8,2016,30.4,33.6,28.1,72,24.7,1004.6,YES,NO
27,8,2016,29.7,33.2,27.0,79,25.6,1006.4,NO,NO
28,8,2016,27.6,31.0,25.4,82,24.1,1006.4,NO,YES
29,8,2016,26.7,28.0,26.2,76,22.0,1007.2,NO,NO
30,8,2016,28.0,31.2,26.1,69,21.8,1007.6,NO,NO
31,8,2016,28.6,31.5,26.6,78,24.2,1006.3,NO,NO
1,8,2017,30.5,33.2,28.3,80,26.7,1001.4,YES,YES
2,8,2017,29.3,31.0,27.3,83,26.0,1002.2,NO,YES
3,8,2017,27.8,29.8,25.3,88,25.6,1001.8,NO,YES
4,8,2017,27.6,29.3,25.9,89,25.5,1003.0,NO,YES
5,8,2017,30.0,34.0,27.1,80,26.1,1005.5,YES,YES
6,8,2017,30.3,32.9,28.5,78,26.0,1006.4,YES,NO
7,8,2017,30.5,33.0,27.3,77,25.9,1006.3,YES,NO
8,8,2017,30.4,32.8,28.4,78,26.1,1006.6,YES,NO
9,8,2017,29.6,31.0,26.3,81,25.9,1006.1,NO,YES
10,8,2017,29.6,31.4,27.6,81,26.0,1006.1,NO,YES
11,8,2017,30.0,31.6,28.9,79,26.1,1007.6,YES,NO
12,8,2017,30.0,32.5,29.0,76,25.4,1008.7,YES,NO
13,8,2017,29.8,32.4,28.6,76,25.1,1009.1,NO,NO
14,8,2017,29.9,32.5,28.8,75,25.0,1008.8,NO,NO
15,8,2017,29.8,32.9,28.1,74,24.6,1008.4,NO,NO
16,8,2017,29.3,31.2,28.2,75,24.4,1008.3,NO,NO
17,8,2017,29.9,33.0,27.9,73,24.5,1009.1,NO,NO
18,8,2017,30.4,34.3,28.1,76,25.5,1010.3,YES,NO
19,8,2017,30.6,34.0,28.4,71,24.5,1009.8,YES,NO
20,8,2017,30.5,33.4,28.5,75,25.3,1007.1,YES,NO
21,8,2017,31.3,34.5,28.6,72,25.5,1003.2,YES,NO
22,8,2017,30.9,36.6,28.0,76,26.1,999.7,YES,NO
23,8,2017,26.9,29.5,25.4,89,24.8,996.9,NO,YES
24,8,2017,29.1,31.5,27.3,86,26.4,1007.8,NO,YES
25,8,2017,29.2,32.7,27.8,81,25.6,1008.3,NO,YES
26,8,2017,29.8,34.3,26.2,73,24.3,1006.4,NO,NO
27,8,2017,25.6,26.9,24.0,95,24.6,1004.3,NO,YES
28,8,2017,25.2,26.3,24.5,96,24.6,1010.2,NO,YES
29,8,2017,28.2,31.4,24.6,79,24.0,1010.1,NO,NO
30,8,2017,28.9,31.6,27.0,79,24.8,1008.3,NO,NO
31,8,2017,28.9,32.8,26.2,77,24.3,1007.3,NO,NO
1,8,2018,29.9,32.4,27.9,78,25.7,1004.6,NO,NO
2,8,2018,30.0,32.9,26.6,78,25.6,1003.8,YES,NO
3,8,2018,30.1,31.8,29.1,77,25.6,1003.4,YES,NO
4,8,2018,29.8,32.5,27.3,79,25.7,1004.7,NO,NO
5,8,2018,30.3,33.1,28.9,77,25.8,1005.9,YES,NO
6,8,2018,30.2,33.8,28.8,76,25.5,1005.4,YES,NO
7,8,2018,30.0,34.2,28.4,78,25.6,1004.4,YES,NO
8,8,2018,30.3,33.9,27.1,75,25.4,1004.2,YES,NO
9,8,2018,30.4,33.6,29.2,74,25.1,1003.3,YES,NO
10,8,2018,27.2,29.5,26.0,92,25.9,1001.7,NO,YES
11,8,2018,27.0,28.2,25.8,93,25.9,998.7,NO,YES
12,8,2018,26.9,28.1,25.8,93,25.7,996.5,NO,YES
13,8,2018,28.9,32.6,27.3,84,25.8,996.3,NO,YES
14,8,2018,27.6,29.9,26.4,90,25.9,996.2,NO,YES
15,8,2018,28.2,30.9,26.4,86,25.6,999.2,NO,YES
16,8,2018,27.8,29.0,26.7,89,25.9,1000.1,NO,YES
17,8,2018,27.2,28.3,25.5,91,25.5,1000.2,NO,YES
18,8,2018,28.4,30.9,25.9,84,25.3,1001.4,NO,YES
19,8,2018,28.6,30.4,26.4,84,25.6,1002.5,NO,YES
20,8,2018,27.8,30.5,26.1,88,25.7,1002.3,NO,YES
21,8,2018,28.3,30.2,26.7,86,25.6,1000.2,NO,YES
22,8,2018,28.5,31.8,24.7,83,25.2,1000.1,NO,YES
23,8,2018,27.7,30.9,24.6,86,25.2,1001.7,NO,YES
24,8,2018,29.1,31.9,25.6,82,25.6,1001.6,NO,YES
25,8,2018,30.3,32.9,27.8,73,24.8,999.8,YES,NO
26,8,2018,28.9,31.4,25.5,77,24.4,999.5,NO,NO
27,8,2018,27.0,29.9,25.2,87,24.5,1001.3,NO,YES
28,8,2018,26.3,29.2,25.2,93,24.9,1002.2,NO,YES
29,8,2018,27.4,29.3,26.1,89,25.5,1002.5,NO,YES
30,8,2018,28.0,28.9,26.9,87,25.6,1005.5,NO,YES
31,8,2018,27.9,29.0,27.0,88,25.6,1009.3,NO,YES
1,8,2019,26.4,27.6,24.9,94,25.2,1000.1,NO,YES
2,8,2019,27.0,28.5,25.4,91,25.3,1002.1,NO,YES
3,8,2019,26.7,27.5,25.3,91,25.1,1002.7,NO,YES
4,8,2019,27.9,30.2,26.9,83,24.6,1002.7,NO,YES
5,8,2019,29.7,34.5,26.5,77,25.0,1003.1,NO,NO
6,8,2019,29.8,32.2,28.7,78,25.4,1002.7,NO,NO
7,8,2019,30.1,33.6,28.0,70,23.8,1000.7,YES,NO
8,8,2019,30.4,33.5,27.7,74,25.1,998.5,YES,NO
9,8,2019,31.3,35.1,28.1,75,26.2,997.2,YES,NO
10,8,2019,30.6,33.2,29.4,83,27.4,999.0,YES,YES
11,8,2019,30.4,32.7,29.2,82,26.9,1000.7,YES,YES
12,8,2019,30.8,34.0,29.2,80,27.0,1001.6,YES,YES
13,8,2019,30.8,33.3,28.8,79,26.6,1001.7,YES,NO
14,8,2019,30.0,33.4,25.2,80,26.2,1002.0,YES,YES
15,8,2019,30.0,32.4,26.5,79,25.8,1001.9,YES,NO
16,8,2019,30.0,32.0,27.6,81,26.2,1003.4,YES,YES
17,8,2019,28.0,30.1,25.9,87,25.5,1005.6,NO,YES
18,8,2019,27.8,31.6,25.0,86,25.2,1005.1,NO,YES
19,8,2019,28.8,31.8,26.8,83,25.6,1003.9,NO,YES
20,8,2019,29.1,31.7,28.0,79,25.2,1004.8,NO,NO
21,8,2019,29.5,32.8,27.6,74,24.3,1005.9,NO,NO
22,8,2019,29.7,33.0,27.5,77,25.3,1006.6,NO,NO
23,8,2019,29.4,31.4,28.2,80,25.5,1006.7,NO,YES
24,8,2019,30.9,33.9,27.7,75,25.9,1002.3,YES,NO
25,8,2019,27.2,32.6,25.1,89,25.2,1000.8,NO,YES
26,8,2019,25.7,28.7,22.9,95,24.7,1006.3,NO,YES
27,8,2019,28.6,31.4,26.9,88,26.3,1008.1,NO,YES
27,8,2019,28.6,31.4,26.9,88,26.3,1008.1,NO,YES
31,8,2019,26.9,30.3,25.0,91,25.3,1007.8,NO,YES
