"day_day","day_pressure","day_max","day_mean","day_min","day_meandew","day_meanhum","day_meancloud","day_rainfall"
"01","1007.8","32.8","30.1","28.6","26.2","80","73","0.0"
"02","1006.0","33.0","30.3","28.7","26.3","79","58","0.0"
"03","1006.5","32.4","30.3","29.0","26.5","80","77","Trace"
"04","1007.9","33.8","28.7","24.7","25.4","83","75","12.4"
"05","1008.8","30.4","26.9","25.0","24.3","86","87","7.6"
"06","1008.8","29.1","26.2","24.8","24.7","91","80","77.6"
"07","1008.1","30.7","28.1","26.3","25.4","86","75","0.4"
"08","1006.3","30.0","27.1","24.1","25.1","89","85","46.5"
"09","1005.7","31.7","28.2","26.6","25.7","86","79","Trace"
"10","1005.7","31.1","27.9","26.6","25.8","89","80","9.1"
"11","1005.9","27.8","26.6","25.4","25.4","93","85","85.5"
"12","1005.7","29.2","27.1","25.4","25.8","93","96","28.2"
"13","1005.0","31.5","29.7","28.5","26.7","84","90","0.1"
"14","1004.2","31.7","30.2","29.2","26.6","81","88","Trace"
"15","1005.3","32.0","30.3","29.3","26.3","79","86","0.6"
"16","1006.7","31.4","29.4","28.2","25.9","82","88","2.8"
"17","1008.2","32.1","29.4","26.7","25.9","82","85","2.5"
"18","1010.5","30.8","29.3","27.7","26.0","83","81","13.1"
"19","1010.3","34.2","30.1","27.8","26.1","80","41","0.0"
"20","1008.5","34.4","30.8","28.6","26.3","78","59","Trace"
"21","1009.3","33.7","30.6","28.7","25.6","75","51","0.0"
"22","1009.5","33.7","30.5","28.5","25.3","75","32","0.0"
"23","1008.4","34.1","30.4","28.4","24.7","72","20","0.0"
"24","1008.1","35.2","31.0","28.8","25.0","72","38","0.0"
"25","1008.9","35.5","31.4","28.9","26.1","74","39","0.0"
"26","1009.1","35.1","31.3","29.4","26.3","75","57","Trace"
"27","1007.5","35.1","31.1","28.6","26.7","78","61","1.7"
"28","1007.5","32.3","29.1","26.3","26.3","85","83","37.1"
"29","1010.0","33.3","29.0","27.5","26.7","87","79","20.4"
"30","1010.3","33.1","30.0","27.8","26.0","80","83","1.8"
"Mean/Total","1007.7","32.4","29.4","27.5","25.8","82","70","347.4"
"NormalÂ§","1006.1","30.2","27.9","26.2","24.6","82","77","456.1"